,0,1,Zipcode,Another_Store_Present
2680,0.685,0.315,11560,0
5572,0.685,0.315,20746,0
802,0.685,0.315,3264,0
21894,0.685,0.315,74636,0
24134,0.685,0.315,84050,0
16595,0.685,0.315,58047,0
20625,0.685,0.315,70710,0
2041,0.685,0.315,7461,0
18012,0.685,0.315,62295,0
22626,0.685,0.315,77067,0
16892,0.685,0.315,58771,0
15677,0.685,0.315,55810,0
25727,0.685,0.315,96731,0
2388,0.69,0.31,8562,0
8642,0.69,0.31,31811,0
11186,0.69,0.31,41740,0
3041,0.69,0.31,12726,0
11948,0.69,0.31,44610,0
17878,0.69,0.31,62009,0
3435,0.69,0.31,13612,0
5706,0.69,0.31,21635,0
6250,0.69,0.31,24083,0
22731,0.69,0.31,77541,0
4631,0.69,0.31,16835,0
1687,0.69,0.31,6103,0
15455,0.69,0.31,55021,0
3840,0.69,0.31,14802,0
14495,0.69,0.31,52046,0
24142,0.69,0.31,84061,0
22848,0.69,0.31,78015,0
14554,0.69,0.31,52206,0
5366,0.69,0.31,19317,0
434,0.69,0.31,2048,0
19914,0.69,0.31,68007,0
1801,0.69,0.31,6472,0
2401,0.69,0.31,8648,0
24165,0.69,0.31,84116,0
17381,0.695,0.305,60545,0
14585,0.695,0.305,52248,0
2133,0.695,0.305,7755,0
6119,0.695,0.305,23433,0
10860,0.695,0.305,40228,0
26283,0.695,0.305,98936,0
20067,0.695,0.305,68430,0
21839,0.695,0.305,74458,0
2074,0.695,0.305,7631,0
16522,0.695,0.305,57718,0
10747,0.695,0.305,39771,0
13429,0.695,0.305,48933,0
22090,0.695,0.305,75411,0
9886,0.695,0.305,37069,0
5625,0.695,0.305,21071,0
24927,0.695,0.305,89820,0
5542,0.695,0.305,20664,0
23304,0.695,0.305,79517,0
20508,0.695,0.305,70374,0
22215,0.695,0.305,75707,0
26578,0.695,0.305,99771,0
431,0.695,0.305,2038,0
20444,0.695,0.305,70030,0
359,0.695,0.305,1775,0
16115,0.695,0.305,56580,0
25170,0.695,0.305,93458,0
5999,0.695,0.305,23011,0
16603,0.695,0.305,58057,0
16367,0.695,0.305,57350,0
4794,0.695,0.305,17237,0
6950,0.7,0.3,26181,0
7926,0.7,0.3,29414,0
14166,0.7,0.3,50568,0
26337,0.7,0.3,99122,0
20679,0.7,0.3,70806,0
17536,0.7,0.3,61240,0
10560,0.7,0.3,39110,0
1679,0.7,0.3,6089,0
5560,0.7,0.3,20708,0
5922,0.7,0.3,22726,0
11203,0.7,0.3,41810,0
3029,0.7,0.3,12589,0
15398,0.7,0.3,54904,0
5846,0.7,0.3,22427,0
8156,0.7,0.3,30082,0
5430,0.7,0.3,19559,0
1900,0.7,0.3,6901,0
18224,0.7,0.3,62693,0
25804,0.7,0.3,97110,0
2119,0.7,0.3,7732,0
14462,0.7,0.3,51630,0
351,0.7,0.3,1752,0
5521,0.7,0.3,20620,0
1808,0.7,0.3,6481,0
670,0.705,0.295,2836,0
12733,0.705,0.295,47111,0
23741,0.705,0.295,81647,0
23942,0.705,0.295,83335,0
8210,0.705,0.295,30234,0
